Counts,Dilution
47,200
31,200
8,2000
41,20
3,2000
18,200
37,20
41,20
4,200
45,200
8,2000
5,2000
34,200
21,200
6,2000
40,200
5,200
32,200
4,200
35,20
6,200
48,20
20,200
13,200
31,200
39,200
6,2000
6,200
6,2000
48,200
45,20
39,200
5,2000
27,200
27,200
40,20
33,200
37,20
35,200
46,20
6,2000
22,200
43,20
5,200
23,200
43,20
22,200
6,2000
42,20
38,20
21,200
38,200
43,20
4,200
4,2000
11,200
44,200
5,200
6,2000
6,2000
2,2000
48,20
38,20
50,200
43,20
24,200
33,20
50,200
7,2000
4,2000
50,200
43,200
6,2000
21,200
29,200
2,200
29,200
6,200
43,20
42,20
45,200
20,200
6,200
37,20
33,20
2,200
4,2000
5,2000
46,200
21,200
4,2000
21,200
27,200
2,2000
48,200
9,200
5,2000
24,200
4,200
4,200
6,200
37,200
4,200
48,20
3,200
3,200
8,200
22,200
2,200
3,200
45,20
4,2000
4,2000
31,200
5,200
6,200
25,200
36,20
6,200
4,200
32,200
24,200
27,200
27,200
48,200
22,200
6,200
26,200
44,20
46,200
24,200
47,200
8,200
50,20
8,2000
26,200
7,2000
5,2000
8,2000
3,2000
43,20
5,2000
7,200
24,200
44,200
7,2000
42,200
20,200
7,200
4,2000
4,2000
44,20
7,200
10,2000
38,200
7,200
48,20
49,20
33,200
7,200
40,20
4,2000
46,200
30,20
22,200
1,2000
5,200
48,20
3,2000
46,200
47,20
31,200
50,200
41,20
4,200
49,20
1,200
5,2000
43,200
5,200
50,20
5,2000
44,20
45,20
49,200
26,200
6,200
46,20
5,2000
43,20
4,2000
42,200
11,2000
47,20
44,200
9,200
37,20
36,20
46,20
44,20
47,20
4,200
44,200
46,200
42,20
46,200
46,200
6,2000
5,2000
47,200
32,200
37,20
21,200
26,200
5,2000
38,200
50,200
9,2000
36,200
45,20
42,200
6,2000
2,2000
45,20
4,2000
48,200
46,20
5,200
39,200
7,200
49,20
42,20
35,200
43,20
5,200
7,2000
10,200
38,20
50,200
33,200
28,200
36,200
36,20
25,200
2,2000
26,200
25,200
1,200
36,20
11,200
7,2000
49,200
48,20
50,20
45,20
39,200
32,200
44,20
4,200
21,200
5,200
45,20
32,200
50,20
39,200
23,200
22,200
5,200
42,20
24,200
46,200
9,2000
38,200
29,20
8,200
3,200
23,200
41,20
47,20
50,200
7,200
47,20
48,200
44,200
6,200
3,200
6,2000
7,2000
29,200
50,200
29,200
40,20
47,200
47,20
42,200
7,2000
3,200
2,2000
41,200
21,200
50,20
9,2000
49,20
4,200
43,20
6,2000
45,20
2,2000
3,200
47,200
7,200
28,200
6,2000
30,200
48,20
4,200
28,200
4,200
39,20
43,20
49,200
42,20
49,20
39,200
44,20
6,2000
31,200
5,2000
30,200
8,200
34,20
44,20
4,2000
1,2000
50,20
5,200
6,200
6,200
42,200
40,200
41,200
6,200
42,200
4,2000
1,2000
29,200
2,200
28,200
31,200
37,20
36,20
24,200
17,200
7,2000
3,2000
49,200
5,200
43,200
44,200
39,20
24,200
0,2000
49,20
27,200
42,20
26,200
23,200
5,2000
43,200
47,20
3,200
28,200
3,200
29,200
10,2000
49,200
49,20
40,200
5,2000
47,20
4,2000
50,20
3,2000
35,200
47,20
4,200
28,200
48,20
37,200
39,20
7,200
41,20
43,20
21,200
17,200
5,2000
44,20
24,200
44,20
33,200
3,2000
6,200
47,20
42,20
8,2000
5,2000
49,200
7,200
50,20
48,200
20,200
8,200
28,200
43,20
42,200
28,200
3,200
48,20
6,200
31,200
36,200
11,2000
46,200
5,200
6,200
41,200
28,200
21,200
46,20
2,200
49,20
41,20
45,20
7,200
29,200
50,20
30,200
1,200
46,200
35,20
8,200
7,2000
3,2000
3,2000
49,200
27,200
36,200
11,2000
32,200
50,200
2,200
38,20
2,200
31,20
23,200
4,200
50,200
45,20
26,200
24,200
4,2000
41,200
3,200
41,20
38,20
45,200
47,20
8,2000
41,20
43,20
22,200
36,200
47,20
27,200
5,2000
5,200
36,200
4,200
0,200
35,20
50,200
25,200
23,200
27,20
15,200
20,200
9,200
32,200
10,200
1,2000
2,200
3,200
4,2000
7,2000
43,20
38,20
37,200
5,2000
49,20
39,200
6,200
5,200
25,200
2,2000
12,200
33,200
1,2000
7,2000
4,2000
3,2000
2,200
9,200
8,2000
44,20
39,200
32,200
45,200
30,200
4,200
8,200
29,200
47,20
25,200
46,200
50,200
6,200
33,20
45,20
18,200
47,20
8,2000
26,200
5,200
50,20
5,200
48,200
45,200
30,200
42,200
6,2000
43,200
26,200
48,200
26,200
3,200
29,200
8,200
3,200
47,20
44,20
42,20
12,200
7,2000
50,200
49,200
9,200
4,200
48,200
45,200
39,200
23,200
48,20
7,2000
40,20
44,200
26,200
26,200
26,200
4,2000
41,200
8,200
5,200
4,2000
5,200
9,200
40,20
40,20
6,2000
4,2000
4,2000
46,200
1,2000
42,200
6,2000
6,2000
39,200
4,200
46,20
23,200
21,200
4,200
47,200
5,2000
4,2000
22,200
5,200
24,200
37,20
2,200
47,200
9,200
46,20
16,200
49,20
48,20
7,200
2,200
50,20
21,200
45,20
6,2000
17,200
2,2000
3,200
24,200
5,2000
44,200
6,2000
34,200
2,2000
28,200
20,200
33,200
49,200
2,2000
36,200
2,200
8,200
3,200
6,2000
6,2000
12,200
8,2000
41,20
3,2000
48,200
6,2000
7,2000
47,200
50,20
5,200
48,200
20,200
39,200
2,2000
26,200
43,20
8,200
4,2000
3,200
10,2000
23,200
46,200
3,200
34,200
17,200
5,200
29,200
23,200
44,200
6,2000
49,20
47,20
34,20
3,2000
10,200
7,200
6,200
37,200
4,2000
47,20
29,200
38,200
42,20
45,20
46,20
41,200
5,2000
43,20
47,200
40,200
49,20
44,200
23,200
43,200
29,200
5,2000
27,200
4,200
50,20
8,2000
45,200
6,2000
19,200
2,200
21,200
6,2000
4,2000
6,2000
7,2000
2,2000
43,20
7,200
4,2000
31,200
50,200
3,200
4,2000
6,200
4,2000
23,200
3,200
2,2000
49,20
3,2000
40,20
5,2000
25,200
42,20
22,200
35,200
45,20
49,20
5,200
10,2000
42,200
48,200
5,2000
37,200
7,200
11,200
41,200
45,200
33,200
6,2000
4,2000
47,20
25,200
44,200
46,20
10,2000
22,200
7,2000
25,200
34,200
24,200
13,200
46,200
45,200
39,20
36,20
3,200
45,20
18,200
26,200
48,20
22,200
47,20
45,200
16,200
5,2000
26,200
5,2000
34,200
7,2000
3,200
44,20
27,200
3,200
2,200
40,20
30,200
24,200
23,200
50,200
41,200
24,200
4,2000
49,200
39,200
10,2000
2,2000
3,200
20,200
43,200
2,2000
3,200
46,20
27,200
35,20
4,200
44,200
50,20
20,200
23,200
18,200
8,200
47,200
5,2000
45,200
4,200
6,2000
3,200
6,2000
8,2000
30,200
3,200
23,200
49,200
5,200
5,200
45,200
3,2000
5,2000
27,200
48,200
2,2000
40,200
44,200
4,200
41,200
42,20
42,200
22,200
26,200
22,200
5,200
49,20
48,20
24,200
44,200
38,200
19,200
25,200
6,2000
23,200
3,2000
25,200
35,200
6,2000
4,200
29,200
5,2000
23,200
32,20
38,200
6,200
18,200
8,200
8,2000
31,200
31,20
48,20
39,20
9,200
42,20
44,20
5,2000
24,200
39,20
44,20
48,200
18,200
46,20
8,2000
43,200
8,200
42,200
8,2000
6,2000
48,200
44,20
6,200
44,20
40,200
4,2000
45,20
45,20
41,20
6,200
26,200
5,200
47,200
47,200
6,200
37,200
7,2000
49,200
40,200
29,200
4,2000
5,2000
33,200
26,200
49,200
20,200
49,200
43,200
50,20
27,200
43,20
5,200
4,2000
36,200
3,200
4,200
5,200
34,200
45,20
18,200
6,2000
5,2000
49,200
2,200
36,20
8,200
50,20
48,200
42,20
24,200
33,200
4,200
5,2000
44,200
25,200
3,2000
19,200
38,200
5,200
4,2000
34,200
6,200
26,200
18,200
27,200
45,20
32,200
20,200
48,200
41,200
43,20
24,200
7,2000
24,200
23,200
10,2000
5,200
24,200
36,20
3,200
24,200
41,20
38,200
21,200
50,200
31,200
50,200
21,200
6,2000
39,20
5,200
2,200
28,200
40,20
23,200
3,2000
43,200
9,200
4,2000
28,200
45,20
34,200
34,20
42,20
44,200
26,200
5,2000
44,20
35,200
49,20
4,2000
7,200
4,2000
50,20
47,200
6,200
9,2000
36,20
33,20
45,20
39,200
1,2000
5,2000
8,200
17,200
27,200
6,200
23,200
3,2000
40,200
5,2000
38,20
2,2000
6,2000
6,200
38,20
7,200
30,200
41,20
40,20
5,2000
12,2000
20,200
50,20
7,200
23,200
8,200
5,2000
19,200
49,20
48,20
23,200
26,200
36,20
4,2000
42,200
48,200
42,200
25,200
3,200
36,200
45,200
30,200
33,200
4,200
10,2000
42,200
28,200
43,200
2,2000
40,200
3,200
42,20
40,20
49,200
49,200
20,200
5,200
50,20
4,200
7,200
43,20
35,20
7,2000
3,200
22,200
4,2000
33,200
24,200
23,200
2,2000
3,200
30,200
50,20
35,200
7,2000
42,20
50,20
4,200
31,200
6,200
48,200
5,2000
4,200
37,200
47,20
32,20
50,200
5,200
38,200
1,200
22,200
2,200
27,200
7,2000
3,2000
5,2000
24,200
43,200
31,20
24,200
50,200
44,20
18,200
6,200
24,200
21,200
45,20
40,20
43,20
29,200
34,200
45,200
45,20
47,200
39,20
5,200
40,200
26,200
26,200
4,200
7,2000
41,20
6,200
10,200
41,200
27,200
4,2000
5,200
44,200
8,200
8,200
8,2000
4,2000
42,200
5,2000
9,200
2,200
49,20
50,200
41,200
5,200
5,200
29,200
46,20
4,200
26,200
5,2000
49,20
42,200
4,200
40,200
3,2000
48,200
5,2000
6,200
35,200
45,200
26,200
46,20
20,200
4,2000
5,2000
42,200
6,2000
4,200
42,200
26,200
3,2000
26,200
4,200
4,2000
43,20
44,20
8,200
6,2000
7,200
45,20
5,2000
4,2000
21,200
48,200
16,200
48,20
46,20
9,200
8,200
44,20
48,20
37,200
39,20
7,200
19,200
5,2000
30,200
2,2000
22,200
33,200
47,200
8,2000
21,200
4,2000
12,200
40,20
4,200
45,20
42,200
48,20
5,2000
4,200
42,20
36,200
4,200
49,20
30,200
29,200
3,2000
49,200
40,200
38,20
49,200
2,200
4,200
40,20
7,2000
38,200
50,20
9,2000
4,200
41,200
3,200
46,20
31,200
50,20
4,2000
37,20
11,2000
23,200
7,200
6,200
22,200
37,20
3,2000
45,20
5,200
22,200
50,20
44,20
33,200
6,200
23,200
25,200
4,2000
1,200
7,200
6,2000
3,2000
45,200
31,200
46,200
47,200
4,200
49,200
4,200
17,200
48,20
7,2000
44,200
45,200
43,200
40,200
46,20
45,200
47,20
5,200
22,200
48,20
50,200
43,200
9,2000
7,2000
7,2000
49,200
41,20
6,2000
1,200
41,200
6,200
40,20
47,200
46,200
49,20
7,200
29,200
3,200
3,2000
36,20
44,200
44,20
2,2000
43,20
29,200
8,200
7,200
5,200
42,20
9,2000
39,20
13,200
6,200
4,2000
34,200
4,200
23,200
50,20
7,200
50,200
24,200
4,2000
49,20
48,20
21,200
2,2000
4,2000
42,200
46,200
40,20
6,200
5,200
47,200
48,20
24,200
26,200
4,200
45,200
21,200
32,200
45,20
6,200
5,200
37,20
24,200
21,200
6,2000
4,2000
3,200
42,20
44,200
48,20
5,200
43,20
23,200
50,200
6,200
5,2000
48,20
22,200
45,200
50,20
43,200
6,2000
39,200
5,200
42,20
48,20
27,200
46,200
49,20
46,200
47,200
1,2000
43,200
40,200
29,200
43,20
35,20
49,200
6,200
41,20
5,2000
50,200
49,200
47,20
46,20
40,20
3,200
6,200
20,200
18,200
8,2000
37,20
16,200
42,200
7,200
45,200
30,200
21,200
43,200
4,200
47,20
4,200
4,200
50,20
17,200
35,20
26,200
43,20
44,200
6,2000
18,200
40,200
9,2000
3,200
1,2000
50,200
48,20
45,20
39,200
1,2000
4,2000
43,20
21,200
26,200
26,20
48,200
47,20
24,200
22,200
4,200
36,200
44,200
20,200
3,200
5,2000
26,200
5,2000
7,200
48,200
47,200
46,200
5,200
47,200
37,200
46,200
5,200
46,200
49,200
45,200
2,2000
9,200
12,2000
8,2000
5,2000
27,200
45,20
37,200
9,200
47,200
2,200
4,200
27,200
43,20
45,20
3,2000
8,200
5,2000
5,200
25,200
6,2000
37,200
42,20
40,20
7,200
50,200
10,200
48,20
48,20
42,200
45,20
35,200
32,200
11,200
50,20
42,20
36,200
42,20
7,2000
24,200
24,200
47,200
17,200
3,2000
5,200
8,200
42,200
34,200
43,20
2,200
20,200
6,200
3,2000
44,20
33,200
47,20
30,200
6,2000
50,20
9,2000
45,20
44,200
4,200
6,200
39,20
45,20
8,2000
21,200
26,200
5,2000
4,200
49,200
22,200
8,2000
39,20
39,20
34,200
25,200
46,200
6,2000
3,200
40,20
2,2000
40,20
3,2000
4,200
46,200
3,200
3,2000
3,2000
47,20
8,2000
40,20
5,2000
47,200
29,200
49,20
39,200
50,20
5,2000
5,2000
2,2000
48,20
45,200
2,2000
44,200
7,2000
38,20
6,2000
50,200
38,200
6,200
34,200
4,2000
27,200
3,2000
9,2000
25,200
49,200
48,200
10,2000
49,200
5,2000
39,20
8,2000
49,200
8,2000
45,20
39,200
33,200
22,200
25,200
48,20
3,2000
7,200
44,200
25,200
3,200
24,200
3,2000
41,200
5,200
46,200
4,200
5,2000
46,20
50,200
9,200
44,200
5,2000
36,20
2,2000
6,200
21,200
50,20
44,20
29,200
4,2000
39,200
5,200
28,200
40,200
8,2000
4,2000
49,20
8,200
5,2000
48,200
48,200
7,200
22,200
44,200
38,200
9,200
5,200
42,200
2,2000
4,200
44,20
23,200
46,200
6,200
31,20
46,20
49,200
28,200
29,20
24,200
6,200
23,200
4,200
48,20
44,200
5,2000
23,200
7,2000
34,200
4,2000
4,2000
50,200
7,2000
2,200
38,20
49,20
34,200
40,20
37,200
45,20
22,200
2,2000
47,20
44,200
47,200
4,2000
9,2000
25,200
25,200
50,200
4,200
6,200
46,20
6,2000
45,20
29,200
2,2000
6,2000
30,200
16,200
37,20
48,200
8,2000
45,200
40,200
25,200
9,2000
47,20
28,200
3,2000
49,20
4,2000
49,200
24,200
7,2000
4,2000
45,20
49,20
4,200
38,20
34,200
4,2000
20,200
43,200
49,200
47,200
9,200
48,20
43,20
8,200
46,200
50,20
5,2000
10,200
38,20
40,200
49,20
43,200
23,200
23,200
49,20
37,20
6,2000
44,20
37,200
10,200
49,20
4,200
45,200
44,20
5,200
28,200
48,20
49,20
4,200
3,2000
5,200
30,20
2,2000
50,20
47,20
47,200
6,200
3,2000
37,20
35,20
6,2000
42,200
18,200
41,20
50,200
4,2000
3,200
8,2000
28,200
37,20
28,200
47,200
6,200
3,200
28,200
45,20
45,200
44,20
31,200
49,20
6,2000
5,200
15,200
2,2000
48,20
46,200
16,200
40,200
50,20
27,200
25,200
45,200
9,2000
8,200
43,20
7,200
1,200
47,200
7,2000
4,2000
40,20
16,200
21,200
48,20
6,200
44,200
6,200
8,2000
8,200
7,200
37,20
35,20
48,200
10,2000
49,20
7,200
1,2000
50,200
33,20
40,200
4,200
4,2000
43,20
27,200
30,200
22,200
9,2000
49,20
29,200
37,20
50,20
2,2000
6,200
40,20
50,200
38,20
43,200
47,20
45,200
3,2000
4,2000
45,20
46,200
44,200
2,2000
5,2000
44,20
25,200
6,200
41,20
7,2000
42,20
47,20
46,200
49,200
23,200
25,200
42,20
33,200
5,2000
6,2000
4,200
24,200
35,200
4,200
28,200
42,200
46,200
25,200
35,200
10,2000
4,200
30,200
50,200
43,200
42,20
7,2000
50,200
46,20
24,200
47,20
45,20
27,200
48,200
5,200
2,200
22,200
48,20
22,200
49,20
50,20
24,200
6,2000
5,200
4,200
5,200
49,20
46,20
40,20
20,200
32,200
45,20
43,200
2,2000
48,20
43,20
41,20
44,20
4,200
17,200
5,2000
42,20
10,200
3,2000
5,2000
4,200
48,200
37,200
23,200
30,200
5,2000
22,200
48,20
3,2000
37,200
6,2000
44,200
7,2000
30,200
42,20
46,200
25,200
39,20
49,20
36,200
43,20
4,2000
3,2000
45,20
45,200
41,20
40,200
43,20
9,200
32,20
3,200
39,20
29,200
24,200
50,20
46,20
22,200
50,20
22,200
47,200
48,20
7,200
30,200
47,200
38,200
39,200
5,200
4,200
2,2000
46,20
4,2000
10,200
7,2000
10,2000
10,200
39,20
41,200
47,200
21,200
42,200
37,20
34,200
40,20
9,200
42,20
4,2000
5,200
47,200
25,200
49,20
42,200
44,20
48,200
36,20
49,200
28,200
27,200
46,200
22,200
41,20
9,2000
50,200
29,200
4,2000
7,200
4,200
1,200
4,2000
29,200
42,200
46,200
7,2000
2,2000
18,200
40,20
46,20
4,2000
44,20
46,200
9,2000
6,200
4,200
3,2000
46,20
41,20
40,20
20,200
20,200
25,200
50,200
5,2000
48,200
37,200
47,20
2,200
22,200
5,200
22,200
22,200
4,2000
25,200
45,20
3,2000
41,20
22,200
42,20
34,200
4,200
50,20
2,200
44,20
44,200
9,200
20,200
29,200
4,2000
21,200
6,200
45,20
22,200
2,200
5,200
18,200
35,20
19,200
10,2000
47,200
8,2000
38,200
50,20
3,200
28,200
46,20
4,2000
48,200
21,200
48,20
50,20
49,200
50,200
39,200
50,200
31,200
50,200
25,200
46,200
19,200
45,20
4,200
43,20
4,200
50,200
48,20
8,200
6,2000
41,20
45,20
31,200
40,200
11,2000
10,2000
7,2000
3,2000
8,200
50,200
45,200
26,200
44,20
27,200
27,200
4,200
49,20
5,2000
48,200
3,200
6,2000
5,2000
2,2000
20,200
50,20
20,200
4,2000
24,200
7,200
29,200
6,200
7,200
42,200
19,200
8,200
33,200
45,200
20,200
8,200
41,200
25,200
50,20
39,200
21,200
50,20
44,20
45,20
42,200
46,200
4,200
33,200
43,200
15,200
35,200
29,200
16,200
31,200
24,200
46,200
44,20
40,200
47,20
50,200
6,200
21,200
4,200
41,200
44,20
29,200
29,200
28,200
50,200
3,2000
8,2000
8,200
4,2000
19,200
6,200
47,200
8,2000
8,200
3,200
25,200
5,2000
46,200
5,200
17,200
4,2000
5,2000
46,20
41,20
45,200
8,200
2,200
44,20
3,2000
9,200
40,200
8,200
42,200
5,2000
50,200
49,20
8,200
46,200
30,200
3,2000
21,200
5,200
48,20
41,20
29,20
4,200
48,20
7,200
48,200
2,2000
5,200
4,200
5,2000
5,200
44,20
43,200
45,200
23,200
7,200
38,200
24,200
40,200
21,200
4,200
4,2000
32,200
19,200
3,2000
1,200
8,200
47,200
18,200
5,2000
7,200
47,200
28,200
29,200
49,200
49,200
43,200
1,200
44,20
30,200
43,200
6,2000
4,200
3,200
44,20
6,2000
45,20
6,2000
45,200
7,2000
32,200
5,200
42,20
8,2000
26,200
30,200
2,2000
45,200
39,20
35,20
37,200
49,20
25,200
50,20
32,200
43,20
7,200
20,200
47,20
20,200
8,2000
25,200
5,200
7,2000
21,200
2,200
15,200
4,2000
45,200
4,200
5,200
2,200
37,20
6,2000
29,200
3,2000
36,200
46,200
10,2000
5,200
22,200
7,2000
42,20
21,200
22,200
47,20
46,20
33,20
46,200
38,200
45,200
10,200
45,20
3,200
42,200
24,200
5,200
26,200
43,200
46,20
50,200
20,200
45,200
35,200
42,20
24,200
49,20
50,20
23,200
45,200
47,200
48,200
38,20
2,200
16,200
5,2000
3,200
40,20
38,20
41,200
4,2000
6,2000
4,200
50,20
32,200
44,20
7,200
3,2000
47,20
31,200
16,200
13,200
25,200
41,200
49,200
7,200
49,20
5,200
6,200
50,20
7,2000
6,200
5,2000
8,2000
8,2000
29,200
5,2000
27,200
7,200
6,2000
48,20
10,200
39,200
7,200
26,200
5,200
5,200
49,20
5,200
48,20
7,2000
5,200
34,200
25,200
46,20
4,2000
6,2000
50,20
48,200
40,20
49,200
46,20
50,200
5,200
35,200
24,200
5,200
44,20
27,200
37,20
24,200
22,200
28,200
37,200
49,200
2,2000
45,200
36,20
4,2000
7,2000
46,20
5,2000
41,200
44,20
43,200
7,2000
3,2000
2,200
45,20
18,200
41,20
37,20
46,20
30,200
26,200
3,2000
4,200
4,2000
45,20
44,20
35,200
22,200
32,200
6,2000
34,20
8,200
48,20
2,200
8,2000
16,200
2,2000
40,200
32,200
45,20
41,200
50,20
27,200
39,200
48,20
45,200
4,2000
32,200
4,200
26,200
41,200
50,200
25,200
3,200
41,200
40,200
7,2000
8,2000
19,200
47,200
45,20
37,200
8,200
37,20
4,200
6,200
47,200
37,200
47,20
2,200
26,200
40,200
27,200
50,20
23,200
45,20
25,200
24,200
48,200
15,200
41,20
29,200
5,2000
5,2000
3,2000
47,20
2,2000
7,200
33,200
50,200
3,200
25,200
49,200
3,2000
48,20
43,200
5,200
9,2000
19,200
6,200
4,200
49,20
39,200
37,20
47,200
35,200
5,200
43,200
19,200
3,200
48,200
17,200
34,20
50,20
33,200
46,200
49,200
7,2000
7,2000
23,200
6,2000
48,200
5,200
40,200
25,200
3,2000
50,200
3,2000
5,200
5,2000
2,200
21,200
4,200
3,2000
19,200
5,2000
46,200
1,200
7,200
48,200
4,2000
50,20
41,20
5,200
44,20
40,200
47,20
12,200
25,200
6,2000
44,200
7,200
24,200
49,20
5,2000
27,200
36,200
29,200
22,200
48,20
19,200
50,20
39,200
50,20
32,200
6,200
6,2000
46,200
1,200
41,20
6,2000
11,2000
47,20
43,200
4,2000
6,2000
20,200
49,20
50,200
25,200
44,200
4,200
47,200
6,200
3,2000
36,200
33,200
2,2000
49,200
4,200
50,20
48,20
50,200
22,200
45,20
40,20
4,2000
4,2000
47,200
43,200
42,200
46,200
43,20
30,200
44,20
3,200
41,200
49,200
45,200
28,200
50,200
33,200
7,200
38,20
4,2000
4,200
47,200
46,20
48,200
50,20
2,200
44,20
27,200
44,200
50,20
50,200
23,200
5,2000
28,200
4,200
50,200
46,200
44,20
42,20
3,200
7,200
40,200
50,200
44,20
7,200
49,200
23,200
47,200
7,2000
5,200
43,20
6,200
6,2000
9,2000
50,200
41,20
7,200
13,200
27,200
7,200
3,2000
40,20
5,2000
41,20
25,200
9,200
6,200
26,200
3,200
5,2000
11,200
6,200
19,200
7,200
21,200
27,200
7,200
7,200
3,200
40,20
2,2000
27,200
30,200
17,200
5,200
26,200
27,200
50,200
9,2000
47,20
48,20
47,200
25,200
5,200
8,200
3,2000
49,200
45,20
48,20
45,20
46,20
40,20
48,200
8,200
3,2000
36,20
4,200
28,200
34,20
23,200
46,20
6,200
47,200
44,20
44,200
40,200
4,2000
34,20
50,200
8,2000
19,200
32,200
44,20
6,2000
42,20
2,2000
45,200
47,200
26,200
5,200
43,200
24,200
46,20
43,20
26,200
3,200
3,200
48,20
4,2000
3,2000
48,200
20,200
50,200
5,2000
6,200
37,20
25,200
39,200
42,20
36,200
39,20
29,200
7,200
7,200
19,200
41,200
4,200
16,200
2,2000
5,2000
34,20
3,2000
46,200
10,200
50,20
39,20
30,200
16,200
6,2000
5,200
26,200
5,200
3,200
45,200
3,200
15,200
43,200
48,20
28,200
36,20
20,200
26,200
30,20
20,200
10,200
50,200
20,200
25,200
4,2000
6,2000
47,200
9,200
30,200
47,20
46,20
47,200
46,20
4,200
43,200
2,200
43,20
32,200
7,200
48,200
46,200
2,200
5,2000
33,200
49,200
34,200
44,200
1,200
29,200
8,2000
48,200
5,2000
28,200
23,200
3,200
5,2000
48,20
7,200
46,200
20,200
45,200
2,200
24,200
49,200
41,200
5,200
36,20
8,2000
6,200
4,2000
5,200
17,200
28,20
29,200
7,200
26,200
4,2000
47,20
6,200
7,200
19,200
5,200
26,200
42,20
44,200
40,200
25,200
27,200
21,200
26,200
46,20
32,200
48,200
47,20
7,200
4,2000
50,20
35,20
6,200
45,200
41,20
49,20
48,200
37,20
4,2000
2,200
5,2000
43,20
6,200
2,200
23,200
25,200
50,200
25,200
26,200
41,20
1,2000
7,200
29,200
5,200
43,200
24,200
25,200
24,200
50,20
48,20
27,200
38,200
41,20
3,2000
9,2000
50,20
44,20
1,2000
44,20
7,2000
3,2000
48,20
22,200
44,20
18,200
50,200
49,200
7,200
8,200
6,200
44,200
5,200
38,20
48,200
3,2000
2,2000
49,200
35,200
39,20
23,200
1,200
45,20
9,2000
40,20
40,200
1,200
6,200
33,20
8,200
47,20
47,200
7,2000
49,200
6,200
46,20
6,200
41,20
6,2000
39,20
2,200
49,200
8,2000
40,200
8,200
3,200
38,20
7,200
5,200
8,200
46,20
39,20
22,200
4,2000
35,20
29,200
38,20
24,200
43,200
6,2000
10,2000
48,20
4,200
48,20
49,20
47,20
5,200
28,200
39,200
46,20
24,200
8,200
5,200
12,200
7,2000
47,20
4,200
20,200
50,20
48,20
50,20
5,200
42,200
48,200
49,20
25,200
2,200
47,200
5,2000
47,20
25,200
34,20
3,2000
18,200
42,200
46,200
44,200
34,20
6,200
43,200
44,200
4,2000
47,200
28,200
49,200
32,200
10,2000
25,200
7,2000
27,200
29,200
3,200
9,200
36,20
12,2000
48,200
25,200
49,20
23,200
50,200
8,2000
31,200
4,200
41,200
9,2000
46,20
41,20
5,2000
29,200
40,200
2,200
22,200
29,200
50,200
3,2000
24,200
39,20
42,200
45,200
40,200
8,2000
28,200
40,20
35,20
42,200
3,200
4,2000
18,200
3,200
18,200
47,20
7,2000
31,200
14,200
36,200
45,20
49,200
48,20
33,200
38,200
38,20
4,2000
41,200
48,200
21,200
10,2000
4,200
6,200
3,200
34,200
50,200
4,2000
5,200
45,200
8,200
32,200
7,2000
46,200
49,20
28,200
41,20
5,200
24,200
6,200
34,200
46,200
50,200
4,200
47,200
42,20
30,200
40,20
32,200
2,2000
4,2000
43,20
43,20
25,200
42,200
46,200
8,200
48,20
17,200
47,200
9,2000
46,20
44,20
47,20
2,200
44,20
7,200
24,200
4,200
6,2000
6,2000
42,200
21,200
29,200
50,20
1,200
3,2000
28,200
4,200
39,200
42,200
8,200
50,20
25,200
47,200
9,2000
30,200
30,200
44,20
13,200
45,200
41,20
5,2000
4,200
33,200
39,20
3,2000
22,200
44,20
2,2000
2,200
25,200
3,2000
37,20
47,20
35,200
47,200
40,20
3,2000
18,200
13,200
4,200
47,200
6,2000
7,200
42,200
40,200
47,20
50,20
48,20
6,2000
2,200
5,2000
40,200
20,200
2,200
6,200
8,200
47,200
3,2000
50,20
39,200
38,20
6,2000
21,200
48,20
6,2000
35,200
45,20
49,20
5,200
44,20
21,200
5,2000
19,200
3,200
44,200
5,200
2,200
47,200
36,20
40,200
8,200
48,200
33,200
42,200
49,200
34,200
5,2000
7,200
21,200
49,200
50,20
40,200
40,20
45,200
31,200
41,20
23,200
35,200
6,200
4,200
2,2000
5,2000
5,200
50,200
4,2000
38,20
19,200
19,200
2,200
47,20
48,200
41,20
24,200
7,2000
45,200
25,200
7,2000
35,20
3,200
7,200
18,200
34,200
5,200
23,200
24,200
26,200
47,20
20,200
27,200
42,20
41,20
34,200
40,20
9,200
3,2000
5,200
46,20
43,20
32,200
3,200
28,20
3,200
48,200
6,200
2,200
25,200
40,200
7,2000
46,20
19,200
37,20
22,200
3,200
6,200
7,200
27,200
5,2000
5,200
46,200
49,20
6,2000
45,20
3,2000
6,200
21,200
33,200
49,200
50,200
48,20
46,200
1,200
3,200
5,2000
49,20
6,2000
47,200
7,200
17,200
4,2000
28,200
4,200
46,20
6,200
28,200
22,200
44,200
4,200
7,2000
46,200
50,20
4,2000
32,20
8,2000
34,20
46,200
4,2000
48,200
23,200
47,20
7,2000
44,200
2,200
45,20
4,2000
37,20
46,200
7,2000
32,200
27,200
3,200
50,200
47,20
7,2000
9,2000
5,2000
42,200
45,20
45,20
25,200
22,200
40,200
5,2000
47,20
48,20
8,200
46,200
9,2000
2,200
5,2000
2,2000
24,200
8,200
5,2000
23,200
10,200
7,2000
28,200
31,20
40,200
49,20
27,200
7,2000
39,20
49,200
5,2000
19,200
2,2000
45,20
6,200
45,20
48,200
35,200
2,200
47,20
23,200
10,2000
46,20
37,20
30,20
6,2000
17,200
41,200
5,2000
27,200
46,20
3,2000
5,2000
39,20
5,200
29,200
